serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dim_x,dim_y,dim_h,dim_w,hole_x,hole_y,hole_xc,hole_yc,str_x,str_y,hole_d,hole_ratio,prd_dt
20210918_150001_2_5,2,2,5,3,27,50.01849959209953,40.000526945013455,-3.9060687686639894e-05,-0.0002623578491852579,3.967278458666147,4.049381815983981,-0.034779499032251325,0.0032624292840352817,-7.809248179209592e-07,-6.55885982566947e-06,4.049381815983981,1.020695133495983,2021-09-18 15:00:01
20210918_150101_2_5,2,2,5,3,27,49.8936867016991,40.002875466497954,-7.113130404752653e-05,7.346599862723344e-05,3.99951407384593,3.954149867951117,0.002655611870485749,-0.03338291857622917,-1.4256574077758857e-06,1.836517944535276e-06,3.99951407384593,0.9886575706305264,2021-09-18 15:01:01
20210918_150201_2_5,2,2,5,3,27,50.05035953082777,39.96882761533252,0.00020210224124956921,-0.0004548839092169216,3.9789532369473686,4.001060060069644,0.010483057106216097,-0.012104758614981006,4.037977811629652e-06,-1.1380967027474748e-05,4.001060060069644,1.005555939415673,2021-09-18 15:02:01
20210918_150301_2_5,2,2,5,3,27,49.95279244932653,39.957467327258215,0.0006369507614866978,-1.8526565705547597e-05,4.050489531822303,4.019191238039538,-0.006436245374875924,0.000212846107362503,1.275105415043289e-05,-4.636571570918643e-07,4.050489531822303,0.9922729602096553,2021-09-18 15:03:01
20210918_150401_2_5,2,2,5,3,27,49.92529407944638,39.96617396646425,-0.0007306488264838818,-2.2905063292903404e-05,4.044498804059107,4.030006196169379,0.0202964544097795,0.005353409963752437,-1.4634842717625189e-05,-5.731112343183794e-07,4.044498804059107,0.9964167110458325,2021-09-18 15:04:01
20210918_150501_2_5,2,2,5,3,27,49.99750474263161,39.99680203341194,-0.00042698747483784085,0.0004185278667922824,4.039769511030292,3.8787531716978823,-0.006751654883673032,0.011176439859720666,-8.540175695483447e-06,1.0464033260525648e-05,4.039769511030292,0.9601421965058239,2021-09-18 15:05:01
20210918_150601_2_5,2,2,5,3,27,49.95407439210399,39.97501018055269,0.00017861742780778854,-0.00014591811841253657,4.055097131678022,4.029500543415774,-0.016958812272386225,0.003913590492803885,3.575632818371704e-06,-3.6502334271705527e-06,4.055097131678022,0.9936877989771712,2021-09-18 15:06:01
20210918_150701_2_5,2,2,5,3,27,50.006447125872384,39.98715526690133,0.0003336558554401689,-0.00035027321374668345,4.004555589237275,4.0037374192558515,-0.0050660540180134835,-0.015373725598341671,6.67225677121824e-06,-8.759643225648912e-06,4.004555589237275,0.9997956901925341,2021-09-18 15:07:01
20210918_150801_2_5,2,2,5,3,27,50.02805273440511,40.02038999819795,-0.0005184959877943613,-0.0003143153572013257,3.973775293329548,4.070699940048971,0.009750323779519397,-0.022418672075344648,-1.0364104926230381e-05,-7.853880414845502e-06,4.070699940048971,1.0243910738692554,2021-09-18 15:08:01
20210918_150901_2_5,2,2,5,3,27,50.02421137273891,39.90013473731873,0.0005640270538926895,-0.0004609445667270753,4.019196915103315,4.07537200069868,0.019557147941955948,-0.007017593172696314,1.127508137389769e-05,-1.1552456395490621e-05,4.07537200069868,1.013976694046582,2021-09-18 15:09:01
20210918_151001_2_5,2,2,5,3,27,50.027337911081,40.02172571601116,-0.0004363688441248088,-0.00044406066740536554,3.985767488080798,4.03838246023275,0.02073997291792506,-0.016928959623651187,-8.722607725008562e-06,-1.1095490248380616e-05,4.03838246023275,1.0132007128637819,2021-09-18 15:10:01
20210918_151101_2_5,2,2,5,3,27,50.036244749693566,39.93372308906273,-0.000139108107072365,0.00010923286800118009,4.009287660023954,4.019794522412804,-0.0009373210632490283,0.01985042915776664,-2.780146826930231e-06,2.735353970316316e-06,4.019794522412804,1.002620630715429,2021-09-18 15:11:01
20210918_151201_2_5,2,2,5,3,27,49.978157204545944,39.971034420696654,0.00018434543782887495,0.0006801236491133191,4.079411168097463,3.9293388195533954,0.009194752781414591,-0.02212372909896772,3.6885201083826103e-06,1.701541276002497e-05,4.079411168097463,0.96321225236679,2021-09-18 15:12:01
20210918_151301_2_5,2,2,5,3,27,49.98358849672572,39.996251572183375,4.2712904090934706e-05,-0.0005749022026387169,4.0598881776923195,4.071311981909682,0.013934766229001382,0.0328581516138231,8.545385670685229e-07,-1.4373902054325268e-05,4.071311981909682,1.0028138223806589,2021-09-18 15:13:01
20210918_151401_2_5,2,2,5,3,27,50.037218207786196,39.984960860851785,1.4287047652193468e-05,-0.0007430264440287271,3.9847338060062465,3.929623916150202,-0.033936571915987514,0.02000996779674048,2.855284159256137e-07,-1.858264777635945e-05,3.9847338060062465,0.9861697436920437,2021-09-18 15:14:01
20210918_151501_2_5,2,2,5,3,27,49.94304222275055,40.042034081952224,0.0005943015918951772,-0.00017783962155135897,4.010708342949469,3.970258290991603,-0.0046178827633135185,0.008142533417354521,1.1899587318780814e-05,-4.441323365026428e-06,4.010708342949469,0.9899144867940911,2021-09-18 15:15:01
20210918_151601_2_5,2,2,5,3,27,50.08019799772125,40.049884448171724,3.0087565610559472e-05,-0.0009118240857361744,4.017290964261289,3.9703666775153432,0.0193642370991694,0.020426974384899037,6.007876728428374e-07,-2.276720890209208e-05,4.017290964261289,0.9883194204344683,2021-09-18 15:16:01
20210918_151701_2_5,2,2,5,3,27,49.926597652489974,40.00260605220559,-0.0005069057604802034,-6.32683757860936e-05,4.019201236007284,3.9497955598902106,0.010254177606677349,-0.024281613086015938,-1.0153020320120345e-05,-1.5816063509343593e-06,4.019201236007284,0.9827314752256542,2021-09-18 15:17:01
20210918_151801_2_5,2,2,5,3,27,50.02769713088047,40.01217433728404,0.0001556955123291392,0.0005169870110950397,3.9997050035045483,3.960947907804112,-0.018709424039253634,0.018825055664270444,3.112186273971692e-06,1.2920742740373953e-05,3.9997050035045483,0.9903100114467248,2021-09-18 15:18:01
20210918_151901_2_5,2,2,5,3,27,50.03360497075598,39.97558805947873,-0.0003081430203604376,-0.00010280269391712933,4.031402083639084,4.054517934785723,-0.004108332841563372,0.0086556866687961,-6.158721134336479e-06,-2.571636814051907e-06,4.054517934785723,1.0057339483055912,2021-09-18 15:19:01
20210918_152001_2_5,2,2,5,3,27,50.03561646368356,40.0505251444157,-0.0008214064985236815,0.0006534885608267378,4.044433478352136,4.01229808101785,0.023461448090716822,-0.02749179025919325,-1.6416436062496963e-05,1.6316604051266845e-05,4.044433478352136,0.9920544131814031,2021-09-18 15:20:01
20210918_152101_2_5,2,2,5,3,27,49.98791062088674,40.03562747063089,-0.000395434072572865,-0.00028526564232037396,3.9626658993002626,3.9806705434617893,0.01752058118260499,0.018448839206859437,-7.910594134887456e-06,-7.125294652360263e-06,3.9806705434617893,1.0045435685518445,2021-09-18 15:21:01
20210918_152201_2_5,2,2,5,3,27,50.081302992598076,40.01975895358939,1.1522485218770002e-05,-6.655235821361827e-05,3.995781182747203,3.9477931638348003,0.022618750929892423,0.009354804581291886,2.300755876993257e-07,-1.6629874830280347e-06,3.995781182747203,0.9879903286196944,2021-09-18 15:22:01
20210918_152301_2_5,2,2,5,3,27,50.05886646101365,40.00078160656973,-0.00014613484535615947,0.00031927402017321827,4.027065843373127,3.9576620270728253,0.027330851101331367,0.009284279225349528,-2.919259977050634e-06,7.981694540708192e-06,4.027065843373127,0.9827656614022063,2021-09-18 15:23:01
20210918_152401_2_5,2,2,5,3,27,49.96627913767399,40.0494826380737,0.0001691659677458093,-0.0003346875905538251,3.9218263705064813,3.9096919749391197,0.021016555323136284,0.03586389421095421,3.3856026637424784e-06,-8.356851787035292e-06,3.9218263705064813,0.9969059324862986,2021-09-18 15:24:01
20210918_152501_2_5,2,2,5,3,27,49.96046553827946,39.98631534750445,-7.593213740729662e-06,0.00024044518561039464,3.934380931467136,4.014966003334282,0.021525781600787556,0.0082887861687992,-1.519844472808561e-07,6.013186849570546e-06,4.014966003334282,1.0204822749171611,2021-09-18 15:25:01
20210918_152601_2_5,2,2,5,3,27,49.963878588433936,39.96904985177906,-0.0004984068355947216,-0.0004421035122882874,4.042341257572484,3.977783054539593,-0.019770514141293136,-0.014258082850407009,-9.975343181425813e-06,-1.1061146410229438e-05,4.042341257572484,0.9840295019842883,2021-09-18 15:26:01
20210918_152701_2_5,2,2,5,3,27,49.952499903557744,40.02322172045039,-0.000216605201735735,-2.717634930205195e-06,3.960347209178362,3.964030826076561,-0.0029724463227870585,0.003979853297487615,-4.336223455361197e-06,-6.790145354082238e-08,3.964030826076561,1.000930124734938,2021-09-18 15:27:01
20210918_152801_2_5,2,2,5,3,27,50.030183754220616,39.84799697302738,0.0003271864431191541,-0.0005540947484844164,3.9960345674476834,4.05991767292321,-0.0524151720675215,0.00779592136923079,6.5397809595602815e-06,-1.3905209560708316e-05,4.05991767292321,1.0159866248395168,2021-09-18 15:28:01
20210918_152901_2_5,2,2,5,3,27,50.06962082882389,39.9971132011802,-0.000871762216430479,0.00015330911097402683,4.01923319236271,4.000829219849964,-0.027452859259483244,-0.0014618081874608036,-1.7411000962256662e-05,3.8330044021652825e-06,4.01923319236271,0.9954210239535949,2021-09-18 15:29:01
20210918_153001_2_5,2,2,5,3,27,50.02675451981733,40.03539157970721,9.359737768955572e-05,0.0006351711627252863,3.9472325103856503,4.0304621309130555,-0.014465418566365816,0.004340458585259804,1.8709464283252384e-06,1.586524166900459e-05,4.0304621309130555,1.0210855631910252,2021-09-18 15:30:01
20210918_153101_2_5,2,2,5,3,27,50.01608660573515,39.99254250922329,0.00018205692076819915,-0.00023388650985929431,3.973528379618696,4.029806885138283,0.0076011289148203605,0.029442745994471057,3.639967320980354e-06,-5.848253078817237e-06,4.029806885138283,1.0141633581398979,2021-09-18 15:31:01
20210918_153201_2_5,2,2,5,3,27,50.00180849059622,39.99319098237138,0.0003641016034253506,-0.00014561532523372342,3.99881139100108,4.021739569144348,-0.0063959406352669486,-0.0410091750291331,7.28176868830308e-06,-3.6410029221701585e-06,4.021739569144348,1.0057337483320332,2021-09-18 15:32:01
20210918_153301_2_5,2,2,5,3,27,50.01514557161466,40.00168370246689,0.0006656828411373137,9.756258907091057e-05,3.9919393453507044,3.9566052492247477,-0.01321405106744361,-0.01108976376690564,1.3309625185118163e-05,2.4389620646116432e-06,3.9919393453507044,0.9911486390275169,2021-09-18 15:33:01
20210918_153401_2_5,2,2,5,3,27,50.04156707320714,39.93639937973599,-0.0004887210576432685,-0.00020583128399657933,4.049590015326642,3.9523562961295973,-0.010016012727668437,0.005617874637804727,-9.766302021043934e-06,-5.153977003270345e-06,4.049590015326642,0.9759892436446551,2021-09-18 15:34:01
20210918_153501_2_5,2,2,5,3,27,50.04101768114861,40.00105015982391,-7.947762998315859e-05,-0.0003704832241305262,3.9721452556658265,3.96600306531702,-0.004875186299830572,-0.002874853751756491,-1.5882496732895044e-06,-9.2618374430237e-06,3.9721452556658265,0.998453684356068,2021-09-18 15:35:01
20210918_153601_2_5,2,2,5,3,27,50.016557291081085,40.060351008993486,4.7515243518281794e-05,0.00013192634179923812,3.973674711372541,4.019459825755629,-0.024246650325238272,-0.006635069768827625,9.499902850521597e-07,3.293189861706925e-06,4.019459825755629,1.0115221093090616,2021-09-18 15:36:01
20210918_153701_2_5,2,2,5,3,27,49.995649519983886,39.989033761955525,-0.001066245103354789,9.884764319234733e-06,4.045159937035179,4.012422730612599,0.031714623840964164,0.00447585932101314,-2.132675769975941e-05,2.4718687573388753e-07,4.045159937035179,0.9919070674751678,2021-09-18 15:37:01
20210918_153801_2_5,2,2,5,3,27,49.99756528402361,40.01434162278832,0.0002249853915779463,-0.00020706203751658838,4.050293092813364,4.01776366879057,0.05944651496636302,0.014102280736381253,4.4999269524398e-06,-5.174695599606361e-06,4.050293092813364,0.9919686246705176,2021-09-18 15:38:01
20210918_153901_2_5,2,2,5,3,27,50.0612824496685,39.934640042356385,-0.0009631954212170899,-0.000411239722715503,3.9746140489889434,3.991605006649386,-0.0023125940468500385,0.030709094389771433,-1.9240326537489016e-05,-1.0297819694363705e-05,3.991605006649386,1.0042748698240938,2021-09-18 15:39:01
20210918_154001_2_5,2,2,5,3,27,50.072679721657586,40.03733752228432,-0.0005613968114986614,0.00014072724753460997,4.021837898660554,3.943378051404867,-0.0057038865989440775,-0.01593571281155536,-1.1211639053858034e-05,3.514900246708034e-06,4.021837898660554,0.9804915441067833,2021-09-18 15:40:01
20210918_154101_2_5,2,2,5,3,27,49.98743610918257,39.97227097493435,0.0005141937653186063,9.963529029728707e-05,3.9316073051802793,3.9991969945673667,0.010828202851149034,-0.02609796828607423,1.0286460065595366e-05,2.4926101986991423e-06,3.9991969945673667,1.0171913632620508,2021-09-18 15:41:01
20210918_154201_2_5,2,2,5,3,27,50.04023207786661,40.007459184749045,4.909265679502593e-05,-0.0005496485580978023,4.007004638754275,4.028006504414733,0.004362121365740612,-0.004866452965370813,9.810637312519619e-07,-1.373865197386316e-05,4.028006504414733,1.005241288082708,2021-09-18 15:42:01
20210918_154301_2_5,2,2,5,3,27,50.017515851184235,40.03789765321958,-0.00019793967896870852,-9.8523143524308e-05,4.00338803995792,3.951030182756145,0.035684291018143764,0.0010103757687001224,-3.95740723225106e-06,-2.4607471745306643e-06,4.00338803995792,0.986921613223802,2021-09-18 15:43:01
20210918_154401_2_5,2,2,5,3,27,50.071431418614736,39.96226140752909,0.00035897976565175054,0.00016083416443731188,4.002183608169127,3.9599421535486377,0.038130475443914284,-0.0033838388085488907,7.169352971968261e-06,4.024651227745833e-06,4.002183608169127,0.9894453981235974,2021-09-18 15:44:01
20210918_154501_2_5,2,2,5,3,27,49.98384636198573,40.004869096678306,-0.00014965203430585285,-4.514183930198802e-05,3.9712037698314684,3.9725066185206472,0.0036842902390182095,0.028123773724966234,-2.9940079685357684e-06,-1.1284086242825937e-06,3.9725066185206472,1.000328073995869,2021-09-18 15:45:01
20210918_154601_2_5,2,2,5,3,27,50.042495536365806,40.10546742855389,0.0005881289702854117,-0.00020462563113252902,3.995676072661216,4.081538046113096,-0.004761767618771919,-0.004154653460846854,1.1752590752753714e-05,-5.1021879123354075e-06,4.081538046113096,1.0214887222814069,2021-09-18 15:46:01
20210918_154701_2_5,2,2,5,3,27,50.0534591324157,39.95521167100088,-0.000876671139176654,-0.00048110847771398323,3.974335187745274,4.016804257026714,-0.013757245593249168,0.008132011424794989,-1.7514696374079425e-05,-1.204119456744531e-05,4.016804257026714,1.0106858297740946,2021-09-18 15:47:01
20210918_154801_2_5,2,2,5,3,27,49.954685420359766,40.01727684368608,6.316126385658505e-05,-0.00011029402044014952,3.9866570146912914,4.029724765988127,0.006221166266064245,-0.0296118116954343,1.2643711660897126e-06,-2.7561600673373076e-06,4.029724765988127,1.0108029738043995,2021-09-18 15:48:01
20210918_154901_2_5,2,2,5,3,27,49.87683295649497,39.96960861414093,-0.0006032982488564564,3.6300236479407245e-05,3.9020564699525,3.961410376029441,-0.008997735512681385,-0.013326805473928298,-1.2095760959455521e-05,9.08195945320428e-07,3.961410376029441,1.0152109295531706,2021-09-18 15:49:01
20210918_155001_2_5,2,2,5,3,27,49.959433468168925,39.944229314260646,0.000913104768045867,0.00036005704627399944,4.010954113333479,4.042323622299069,0.03878545471995541,-0.008001067569926306,1.8276923989293056e-05,9.013994072616994e-06,4.042323622299069,1.007820959322698,2021-09-18 15:50:01
20210918_155101_2_5,2,2,5,3,27,50.0128709699314,40.05768062063448,-3.804847814495357e-05,0.00025389195747887414,3.9846060433850217,4.052248376326992,-0.005935400778933917,-0.03261089630134955,-7.60773724984294e-07,6.338159213044639e-06,4.052248376326992,1.016975914859705,2021-09-18 15:51:01
20210918_155201_2_5,2,2,5,3,27,49.995929022936025,40.067490942505316,-0.00038744518975972604,0.00016985945802938288,3.960035999017949,4.047541204864143,0.008360586093846352,-0.03869797101294449,-7.749534758759709e-06,4.239333535337214e-06,4.047541204864143,1.0220970733265795,2021-09-18 15:52:01
20210918_155301_2_5,2,2,5,3,27,49.92725783462223,40.01484987216608,0.0004312628178874531,0.00019359597732637664,4.0174833994875145,4.0469161353969865,-0.02519284691817366,-0.03543006919263393,8.637823036785977e-06,4.838103302770105e-06,4.0469161353969865,1.0073261624212875,2021-09-18 15:53:01
20210918_155401_2_5,2,2,5,3,27,50.04264777829459,39.962782643040015,-0.0006535577121241521,-3.974502003088248e-05,3.996371273776959,3.959839399877641,-0.03883213673159917,0.006954002504118186,-1.3060014630313488e-05,-9.94550864635662e-07,3.996371273776959,0.9908587387415604,2021-09-18 15:54:01
20210918_155501_2_5,2,2,5,3,27,49.997083952043006,40.00148060916858,-2.837335306723804e-05,-4.296336991310425e-05,3.989162403200451,4.001171285603049,-0.008244198450258283,-0.030688836797368783,-5.675001584983165e-07,-1.0740444918245547e-06,4.001171285603049,1.0030103769134502,2021-09-18 15:55:01
20210918_155601_2_5,2,2,5,3,27,50.007445079100656,39.96062777447016,-0.00030975542619921263,-0.0001714357049183888,3.941280048213784,3.9447126822325154,0.02037942916709661,0.025612407933577126,-6.19418619985981e-06,-4.290115407744288e-06,3.9447126822325154,1.0008709439513914,2021-09-18 15:56:01
20210918_155701_2_5,2,2,5,3,27,49.993938829468696,39.958969826385236,0.0003335415399549479,-0.00032425184303275174,3.9741242086730737,3.991808349484267,0.007383827384750821,-0.020595453978899735,6.671639558000647e-06,-8.114619682178232e-06,3.991808349484267,1.004449820861814,2021-09-18 15:57:01
20210918_155801_2_5,2,2,5,3,27,49.95229821625064,40.03564991461213,-0.0004772704401924694,0.0006478509716117243,3.984672636729872,4.032161598212782,0.004664381415693547,0.016161158144943163,-9.554524160756276e-06,1.6181852249019515e-05,4.032161598212782,1.0119179078966654,2021-09-18 15:58:01
