serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dim_x,dim_y,dim_h,dim_w,hole_x,hole_y,hole_xc,hole_yc,str_x,str_y,hole_d,hole_ratio,prd_dt
20211014_230001_1_1,3,1,1,3,5,49.97748215200589,39.97118835334666,5.5703779005072036e-05,-0.000611540896392242,3.994431000989026,3.956788557269311,-0.016204865473190097,0.020933627732324826,1.1145775378529412e-06,-1.529954253514306e-05,3.994431000989026,0.9905762688827534,2021-10-14 23:00:01
20211014_230101_1_1,3,1,1,3,5,49.975182493109315,39.978459466247585,0.00012747560915001745,-0.00013464409669334783,4.045464342089087,3.982414177055089,0.004301479931963428,0.0002486230736965475,2.5507782621422955e-06,-3.3679160850863484e-06,4.045464342089087,0.9844146036888713,2021-10-14 23:01:01
20211014_230201_1_1,3,1,1,3,5,49.93919871549106,39.98947987035872,-4.6875787910756226e-05,-0.00031762983434880976,4.045887081617019,3.9799211579173424,-0.0033628998132423124,-0.03848041828573681,-9.386571894717933e-07,-7.942834850028783e-06,4.045887081617019,0.9836955598688354,2021-10-14 23:02:01
20211014_230301_1_1,3,1,1,3,5,49.97218743887526,40.03793699850591,-0.0002674008574095113,0.00024440415870238255,3.975650520733395,3.9810390617030347,0.011598120072153707,-0.016246169857766495,-5.350993644946789e-06,6.104314483323727e-06,3.9810390617030347,1.001355385978103,2021-10-14 23:03:01
20211014_230401_1_1,3,1,1,3,5,49.990612481597665,39.969367091688454,2.4777017276029708e-05,-0.00010232178112440158,3.989079909949887,4.007886873271867,0.02588240866531663,-0.01704720762122822,4.956334008740245e-07,-2.56000503810027e-06,4.007886873271867,1.0047146118269203,2021-10-14 23:04:01
20211014_230501_1_1,3,1,1,3,5,50.03431462436169,39.97930679469934,6.469455164883669e-05,5.012624327727208e-05,4.00689832347973,3.995077077075032,0.0026969545810069688,-0.004697492405163254,1.2930036542828337e-06,1.2538047128900712e-06,4.00689832347973,0.9970497762981837,2021-10-14 23:05:01
20211014_230601_1_1,3,1,1,3,5,49.9979303295992,39.980193938129666,-0.0005342271344900087,0.00015119918561726751,3.972989853680406,4.009226595269234,0.005413755234171849,0.009063921937759649,-1.0684984977743002e-05,3.7818522304131885e-06,4.009226595269234,1.009120773755629,2021-10-14 23:06:01
20211014_230701_1_1,3,1,1,3,5,49.96796740975759,39.986069947620976,0.00018485156834749676,6.773770371788804e-05,3.9956438386173097,3.961938926084275,0.02224628222036201,-0.0036087914292121564,3.6994013951305834e-06,1.6940325419982463e-06,3.9956438386173097,0.9915645853598658,2021-10-14 23:07:01
20211014_230801_1_1,3,1,1,3,5,50.015747856522594,39.94729892388451,0.00014700405275567193,0.000859043050674766,4.037093315529408,4.028326178478055,-0.03535405721038003,0.0446423539704883,2.9391553471793386e-06,2.150440890413103e-05,4.037093315529408,0.9978283541235897,2021-10-14 23:08:01
20211014_230901_1_1,3,1,1,3,5,49.99971219278969,39.91990822176223,0.0003924164658245999,-5.048682106126411e-05,4.012162569481825,4.01062066282981,-0.02135686381196105,0.015964485497624293,7.848374492867364e-06,-1.2647028340045471e-06,4.012162569481825,0.9996156918805476,2021-10-14 23:09:01
20211014_231001_1_1,3,1,1,3,5,50.01388200132776,39.9641070608818,-0.00017090364909376498,-0.0007435869629452565,4.012764283333166,4.035747826101505,-0.007881292953776988,0.02291086469005906,-3.4171242514073964e-06,-1.860637000627756e-05,4.035747826101505,1.0057276084876954,2021-10-14 23:10:01
20211014_231101_1_1,3,1,1,3,5,49.98953183458068,39.94931560781383,0.00011719606278809197,0.0006358395353946503,4.003886840504386,3.9709833660856306,0.0012065001332437016,0.015898801641953644,2.3444120896331458e-06,1.5916155902062166e-05,4.003886840504386,0.991782116795636,2021-10-14 23:11:01
20211014_231201_1_1,3,1,1,3,5,50.01110530232329,39.975733861977076,3.0234880570337552e-05,0.0002936063956206042,3.9937212230619443,4.017583152975852,-0.008406598062964126,-0.02637934760955574,6.045633342347461e-07,7.344615526867612e-06,4.017583152975852,1.0059748611836288,2021-10-14 23:12:01
20211014_231301_1_1,3,1,1,3,5,50.01188190083169,39.98300309434794,0.00014401431138652803,-0.0001463101665555564,4.118365320391538,4.035122244233554,-0.0032564558557867038,-0.006335735961281389,2.879601924840447e-06,-3.6593090871715694e-06,4.118365320391538,0.9797873501542427,2021-10-14 23:13:01
20211014_231401_1_1,3,1,1,3,5,50.006289117833305,39.97270715788431,0.00013338217562315226,0.00017563061041523116,4.002292977752139,3.964124119751364,0.0030975559608313334,0.022738912179214223,2.6673080121753194e-06,4.3937632175255205e-06,4.002292977752139,0.990463252387332,2021-10-14 23:14:01
20211014_231501_1_1,3,1,1,3,5,50.00249410473433,39.99163625074802,-0.0002490166789814238,2.039246413220724e-05,4.020163567948223,4.0440206800865655,0.04078932102867813,0.008024404270227199,-4.9800851625488495e-06,5.099182240092966e-07,4.0440206800865655,1.0059343635489235,2021-10-14 23:15:01
20211014_231601_1_1,3,1,1,3,5,50.055135177874696,39.923562148740295,0.0002761259350367884,0.0007971018349770998,3.986278882165821,3.9132259791884714,-0.004392219415782852,0.03534229965344284,5.516435707456469e-06,1.9965699253172745e-05,3.986278882165821,0.9816739106478023,2021-10-14 23:16:01
20211014_231701_1_1,3,1,1,3,5,50.00447414086649,40.04119600668697,-0.00016588494288630466,0.0008883031366889514,3.9670163531095866,4.031147409387261,0.00970156817635093,-0.023883266019154123,-3.317402007248269e-06,2.21847303597176e-05,4.031147409387261,1.016166068039373,2021-10-14 23:17:01
