serial_no,wo_no,plant_cd,line_cd,item_cd,worker_no,dimcheck_x,dimcheck_y,holecheck_xc,holecheck_yc,dimcheck_hx,dimcheck_wy,holecheck_d,holecheck_ratio,check_result
20210917_070001_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070101_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070201_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070301_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070401_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070501_1_2,1,1,2,1,8,1,1,1,1,1,1,0,1,0
20210917_070601_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070701_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070801_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_070901_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071001_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071101_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071201_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071301_1_2,1,1,2,1,8,1,1,0,0,1,1,1,1,0
20210917_071401_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071501_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071601_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071701_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071801_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_071901_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072001_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072101_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072201_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072301_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072401_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072501_1_2,1,1,2,1,8,1,1,1,0,1,1,1,1,0
20210917_072601_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072701_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072801_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_072901_1_2,1,1,2,1,8,1,1,1,1,1,1,1,1,1
20210917_073001_1_2,1,1,2,1,8,1,1,1,0,1,1,1,1,0
